Year,Reference,Currency,Price,Quantity
2019,MXiMMB0150,TRY,20.6,1091
2021,MXiMMB0150,TRY,33.1,1561
2022,MXiMMB0150,TRY,33.1,1691
2019,MXiMMB0150,USD,109.1,19
2020,MXiMMB0150,USD,132.5,27
2022,MXiMMB0150,USD,213.8,39
2019,UBiVNPC151,EUR,108.0,265
2020,UBiVNPC151,EUR,117.3,295
2021,UBiVNPC151,EUR,171.1,323
2022,UBiVNPC151,EUR,171.1,425
2019,UBiVNPC151,TRY,17.8,1233
2020,UBiVNPC151,TRY,18.8,1369
2021,UBiVNPC151,TRY,24.5,1629
2022,UBiVNPC151,TRY,24.8,1897
2019,UBiVNPC151,USD,94.2,21
2020,UBiVNPC151,USD,94.2,26
2021,UBiVNPC151,USD,113.2,22
2022,UBiVNPC151,USD,113.2,20
2019,PCTaPOOL152,EUR,42.0,279
2020,PCTaPOOL152,EUR,42.0,347
2021,PCTaPOOL152,EUR,48.9,371
2022,PCTaPOOL152,EUR,51.3,402
2020,PCTaPOOL152,TRY,7.0,1593
2021,PCTaPOOL152,TRY,9.0,1825
2019,PCTaPOOL152,USD,36.6,11
2020,PCTaPOOL152,USD,39.9,12
2021,PCTaPOOL152,USD,51.4,26
2022,PCTaPOOL152,USD,51.4,29
2019,MXeBIPC153,EUR,6.0,160
2020,MXeBIPC153,EUR,6.0,253
2021,MXeBIPC153,EUR,8.1,285
2022,MXeBIPC153,EUR,8.2,310
2020,MXeBIPC153,TRY,1.1,1368
2021,MXeBIPC153,TRY,1.4,1635
2019,MXeBIPC153,USD,5.2,30
2020,MXeBIPC153,USD,5.2,61
2021,MXeBIPC153,USD,5.6,57
2022,MXeBIPC153,USD,5.6,66
2019,UAaRSDS154,EUR,121.0,281
2020,UAaRSDS154,EUR,145.4,337
2021,UAaRSDS154,EUR,179.5,412
2022,UAaRSDS154,EUR,179.5,464
2019,UAaRSDS154,TRY,20.0,1365
2020,UAaRSDS154,TRY,23.4,1618
2021,UAaRSDS154,TRY,31.8,1893
2022,UAaRSDS154,TRY,33.8,2092
2019,UAaRSDS154,USD,105.6,14
2020,UAaRSDS154,USD,127.5,11
2021,UAaRSDS154,USD,171.6,10
2022,UAaRSDS154,USD,171.6,23
2019,PCTiAECL155,EUR,75.0,381
2022,PCTiAECL155,EUR,104.7,589
2020,PCTiAECL155,TRY,12.5,1689
2021,PCTiAECL155,TRY,16.0,1974
2022,PCTiAECL155,TRY,16.6,2402
2019,PCTiAECL155,USD,65.4,44
2020,PCTiAECL155,USD,69.1,38
2022,PCTiAECL155,USD,103.8,62
2019,PCTaBNNC156,EUR,141.0,260
2020,PCTaBNNC156,EUR,183.6,325
2021,PCTaBNNC156,EUR,269.2,384
2022,PCTaBNNC156,EUR,269.2,436
2019,PCTaBNNC156,TRY,23.3,1305
2020,PCTaBNNC156,TRY,24.7,1640
2021,PCTaBNNC156,TRY,31.7,1820
2022,PCTaBNNC156,TRY,33.9,2093
2019,PCTaBNNC156,USD,123.0,20
2020,PCTaBNNC156,USD,130.0,26
2022,PCTaBNNC156,USD,170.5,34
2019,PCTeP0LI157,EUR,187.0,254
2020,PCTeP0LI157,EUR,221.1,291
2021,PCTeP0LI157,EUR,252.1,354
2019,PCTeP0LI157,TRY,30.8,1298
2020,PCTeP0LI157,TRY,34.4,1625
2021,PCTeP0LI157,TRY,40.4,1828
2019,PCTeP0LI157,USD,163.1,23
2020,PCTeP0LI157,USD,164.9,34
2021,PCTeP0LI157,USD,242.3,40
2019,UAeTMTT158,EUR,4.0,312
2022,UAeTMTT158,EUR,5.4,448
2019,UAeTMTT158,TRY,0.7,1293
2020,UAeTMTT158,TRY,0.7,1522
2021,UAeTMTT158,TRY,1.0,1851
2019,UAeTMTT158,USD,3.5,50
2020,UAeTMTT158,USD,3.5,47
2022,UAeTMTT158,USD,4.6,58
2020,MXeDCBB159,EUR,9.6,398
2021,MXeDCBB159,EUR,12.6,400
2022,MXeDCBB159,EUR,12.6,486
2019,MXeDCBB159,TRY,1.5,1451
2020,MXeDCBB159,TRY,1.8,1736
2021,MXeDCBB159,TRY,2.4,2092
2022,MXeDCBB159,TRY,2.5,2317
2019,MXeDCBB159,USD,7.9,17
2020,MXeDCBB159,USD,7.9,24
2021,MXeDCBB159,USD,11.9,12
2019,PCTeUUCU160,EUR,26.0,306
2020,PCTeUUCU160,EUR,26.0,332
2021,PCTeUUCU160,EUR,29.4,382
2022,PCTeUUCU160,EUR,29.4,472
2020,PCTeUUCU160,TRY,4.4,1636
2021,PCTeUUCU160,TRY,6.2,1806
2022,PCTeUUCU160,TRY,6.2,2085
2020,PCTeUUCU160,USD,22.7,20
2021,PCTeUUCU160,USD,29.0,13
2022,PCTeUUCU160,USD,29.0,29
2019,UAxFRDC161,EUR,89.0,287
2020,UAxFRDC161,EUR,89.0,352
2021,UAxFRDC161,EUR,99.0,396
2022,UAxFRDC161,EUR,121.5,469
2019,UAxFRDC161,TRY,14.7,1124
2020,UAxFRDC161,TRY,16.9,1419
2021,UAxFRDC161,TRY,22.4,1527
2022,UAxFRDC161,TRY,22.5,1762
2019,UAxFRDC161,USD,77.6,43
2020,UAxFRDC161,USD,80.3,52
2021,UAxFRDC161,USD,112.5,49
2022,UAxFRDC161,USD,112.5,62
2019,MXiCOCU162,EUR,70.0,326
2020,MXiCOCU162,EUR,70.0,399
2022,MXiCOCU162,EUR,96.8,581
2019,MXiCOCU162,TRY,11.5,1628
2020,MXiCOCU162,TRY,11.6,1866
2021,MXiCOCU162,TRY,14.1,2165
2022,MXiCOCU162,TRY,14.6,2492
2019,MXiCOCU162,USD,61.1,43
2020,MXiCOCU162,USD,69.4,57
2021,MXiCOCU162,USD,96.9,71
2022,MXiCOCU162,USD,97.4,77
2019,MXiLCCA163,EUR,169.0,299
2020,MXiLCCA163,EUR,169.0,371
2022,MXiLCCA163,EUR,262.1,456
2020,MXiLCCA163,TRY,29.2,1602
2021,MXiLCCA163,TRY,35.9,1843
2019,MXiLCCA163,USD,147.4,51
2020,MXiLCCA163,USD,149.7,55
2022,MXiLCCA163,USD,195.7,82
2019,MXeCFRT164,EUR,116.0,257
2020,MXeCFRT164,EUR,129.8,290
2021,MXeCFRT164,EUR,152.8,366
2019,MXeCFRT164,TRY,19.1,1140
2020,MXeCFRT164,TRY,21.4,1362
2021,MXeCFRT164,TRY,27.0,1662
2022,MXeCFRT164,TRY,27.9,1884
2020,MXeCFRT164,USD,101.2,7
2021,MXeCFRT164,USD,128.3,13
2022,MXeCFRT164,USD,137.2,16
2019,MXeLTTM165,EUR,59.0,263
2020,MXeLTTM165,EUR,69.1,289
2021,MXeLTTM165,EUR,82.6,327
2019,MXeLTTM165,TRY,9.7,979
2020,MXeLTTM165,TRY,11.1,1133
2021,MXeLTTM165,TRY,13.4,1338
2022,MXeLTTM165,TRY,13.4,1589
2020,MXeLTTM165,USD,57.8,23
2022,MXeLTTM165,USD,69.2,27
2019,UAaFTUN166,EUR,135.0,320
2020,UAaFTUN166,EUR,141.0,352
2021,UAaFTUN166,EUR,164.9,408
2022,UAaFTUN166,EUR,164.9,520
2020,UAaFTUN166,TRY,24.0,1671
2021,UAaFTUN166,TRY,32.2,2058
2022,UAaFTUN166,TRY,32.3,2374
2019,UAaFTUN166,USD,117.8,21
2020,UAaFTUN166,USD,129.5,39
2021,UAaFTUN166,USD,154.4,44
2022,UAaFTUN166,USD,154.4,44
2019,UAxUCTS167,EUR,45.0,283
2020,UAxUCTS167,EUR,49.8,330
2022,UAxUCTS167,EUR,63.4,474
2019,UAxUCTS167,TRY,7.4,961
2022,UAxUCTS167,TRY,12.9,1607
2019,UAxUCTS167,USD,39.3,26
2020,UAxUCTS167,USD,40.3,29
2021,UAxUCTS167,USD,51.4,38
2022,UAxUCTS167,USD,51.4,47
2019,MXeM011168,EUR,29.0,209
2021,MXeM011168,EUR,41.8,273
2022,MXeM011168,EUR,41.8,309
2019,MXeM011168,TRY,4.8,1189
2020,MXeM011168,TRY,4.8,1398
2021,MXeM011168,TRY,6.1,1703
2022,MXeM011168,TRY,6.3,1836
2022,MXeM011168,USD,35.2,81
2019,UBx0AVC169,EUR,2.0,246
2022,UBx0AVC169,EUR,3.8,410
2019,UBx0AVC169,TRY,0.3,1309
2020,UBx0AVC169,TRY,0.3,1656
2021,UBx0AVC169,TRY,0.4,1850
2022,UBx0AVC169,TRY,0.4,2012
2019,UBx0AVC169,USD,1.7,24
2020,UBx0AVC169,USD,1.9,36
2022,UBx0AVC169,USD,2.5,47
2019,UAxDCAI170,EUR,117.0,191
2020,UAxDCAI170,EUR,140.8,236
2021,UAxDCAI170,EUR,170.1,246
2022,UAxDCAI170,EUR,176.9,289
2019,UAxDCAI170,TRY,19.3,1073
2020,UAxDCAI170,TRY,19.3,1178
2021,UAxDCAI170,TRY,27.4,1459
2022,UAxDCAI170,TRY,27.4,1632
2019,UAxDCAI170,USD,102.1,3
2021,UAxDCAI170,USD,116.4,11
2022,UAxDCAI170,USD,116.4,6
2019,MXaCBNU171,EUR,27.0,261
2021,MXaCBNU171,EUR,30.0,358
2022,MXaCBNU171,EUR,31.5,396
2019,MXaCBNU171,TRY,4.5,1307
2020,MXaCBNU171,TRY,4.7,1637
2021,MXaCBNU171,TRY,6.4,1851
2022,MXaCBNU171,TRY,6.6,2053
2019,MXaCBNU171,USD,23.6,25
2022,MXaCBNU171,USD,32.8,53
2019,PCTiDGDM172,EUR,5.0,267
2020,PCTiDGDM172,EUR,5.0,362
2022,PCTiDGDM172,EUR,7.4,453
2019,PCTiDGDM172,TRY,0.8,1339
2020,PCTiDGDM172,TRY,0.9,1583
2021,PCTiDGDM172,TRY,1.4,1831
2022,PCTiDGDM172,TRY,1.4,2159
2019,PCTiDGDM172,USD,4.4,11
2021,PCTiDGDM172,USD,6.8,12
2022,PCTiDGDM172,USD,6.8,21
2019,UBxVOV1173,EUR,144.0,308
2020,UBxVOV1173,EUR,163.2,383
2019,UBxVOV1173,TRY,23.7,1285
2021,UBxVOV1173,TRY,35.6,1925
2022,UBxVOV1173,TRY,35.6,2051
2019,UBxVOV1173,USD,125.6,39
2020,UBxVOV1173,USD,130.4,32
2019,MXiOCCP174,EUR,67.0,254
2020,MXiOCCP174,EUR,78.2,284
2021,MXiOCCP174,EUR,118.2,332
2019,MXiOCCP174,TRY,11.0,1156
2021,MXiOCCP174,TRY,15.0,1513
2022,MXiOCCP174,TRY,15.5,1767
2020,MXiOCCP174,USD,59.7,12
2020,UBaMCVF175,EUR,64.7,235
2021,UBaMCVF175,EUR,90.2,285
2022,UBaMCVF175,EUR,93.4,314
2019,UBaMCVF175,TRY,10.1,1165
2020,UBaMCVF175,TRY,10.8,1445
2021,UBaMCVF175,TRY,12.9,1668
2022,UBaMCVF175,TRY,12.9,1883
2019,UBaMCVF175,USD,53.2,31
2020,UBaMCVF175,USD,59.0,36
2019,PCTiARGC176,EUR,17.0,324
2020,PCTiARGC176,EUR,21.2,353
2021,PCTiARGC176,EUR,23.1,445
2022,PCTiARGC176,EUR,23.1,482
2019,PCTiARGC176,TRY,2.8,1580
2020,PCTiARGC176,TRY,3.2,1893
2021,PCTiARGC176,TRY,4.3,2239
2022,PCTiARGC176,TRY,4.3,2504
2019,PCTiARGC176,USD,14.8,20
2020,PCTiARGC176,USD,17.1,26
2022,PCTiARGC176,USD,23.3,51
2020,MXiCACR177,EUR,226.1,232
2021,MXiCACR177,EUR,266.7,271
2022,MXiCACR177,EUR,266.7,305
2019,MXiCACR177,TRY,34.1,1211
2020,MXiCACR177,TRY,34.2,1418
2021,MXiCACR177,TRY,37.4,1590
2019,MXiCACR177,USD,180.6,24
2021,MXiCACR177,USD,231.8,31
2022,MXiCACR177,USD,231.8,35
2019,PCTiUSC0178,EUR,88.0,332
2020,PCTiUSC0178,EUR,88.0,408
2021,PCTiUSC0178,EUR,123.0,471
2019,PCTiUSC0178,TRY,14.5,1413
2020,PCTiUSC0178,TRY,14.5,1671
2022,PCTiUSC0178,TRY,18.0,2336
2020,PCTiUSC0178,USD,76.8,32
2021,PCTiUSC0178,USD,98.6,39
2022,PCTiUSC0178,USD,98.6,39
2019,UBaR0RC179,EUR,120.0,312
2020,UBaR0RC179,EUR,140.5,385
2021,UBaR0RC179,EUR,187.9,449
2019,UBaR0RC179,TRY,19.8,1351
2020,UBaR0RC179,TRY,21.8,1578
2021,UBaR0RC179,TRY,25.6,1883
2022,UBaR0RC179,TRY,25.6,2201
2019,UBaR0RC179,USD,104.7,30
2020,UBaR0RC179,USD,113.2,42
2021,UBaR0RC179,USD,129.0,56
2022,UBaR0RC179,USD,134.5,57
2019,UAeCEGD180,EUR,17.0,266
2020,UAeCEGD180,EUR,20.1,318
2021,UAeCEGD180,EUR,25.2,351
2022,UAeCEGD180,EUR,25.3,388
2019,UAeCEGD180,TRY,2.8,1047
2020,UAeCEGD180,TRY,2.8,1252
2021,UAeCEGD180,TRY,4.0,1502
2022,UAeCEGD180,TRY,4.0,1782
2019,UAeCEGD180,USD,14.8,23
2021,UAeCEGD180,USD,18.7,47
2022,UAeCEGD180,USD,20.0,43
2019,MXxCSCT181,EUR,117.0,276
2020,MXxCSCT181,EUR,129.3,296
2021,MXxCSCT181,EUR,158.2,370
2022,MXxCSCT181,EUR,161.2,446
2019,MXxCSCT181,TRY,19.3,1274
2021,MXxCSCT181,TRY,27.2,1683
2019,MXxCSCT181,USD,102.1,36
2020,MXxCSCT181,USD,113.7,50
2021,MXxCSCT181,USD,133.0,61
2022,MXxCSCT181,USD,133.0,65
2019,UBxNCER182,EUR,24.0,225
2021,UBxNCER182,EUR,30.9,334
2019,UBxNCER182,TRY,4.0,962
2020,UBxNCER182,TRY,4.0,1161
2021,UBxNCER182,TRY,4.6,1333
2022,UBxNCER182,TRY,4.6,1495
2019,UBxNCER182,USD,20.9,5
2020,UBxNCER182,USD,23.6,4
2021,UBxNCER182,USD,33.9,3
2022,UBxNCER182,USD,36.4,11
2019,UBeOCFC183,EUR,48.0,350
2020,UBeOCFC183,EUR,48.0,410
2022,UBeOCFC183,EUR,67.7,585
2021,UBeOCFC183,TRY,9.8,1648
2020,UBeOCFC183,USD,41.9,31
2021,UBeOCFC183,USD,56.1,27
2022,UBeOCFC183,USD,56.1,22
2020,MXxCALC184,EUR,135.9,357
2021,MXxCALC184,EUR,181.9,383
2022,MXxCALC184,EUR,181.9,462
2020,MXxCALC184,TRY,20.9,1803
2021,MXxCALC184,TRY,25.2,2085
2019,MXxCALC184,USD,110.8,21
2020,MXxCALC184,USD,110.8,33
2021,MXxCALC184,USD,150.7,39
2022,MXxCALC184,USD,171.1,62
2019,UAeOPRT185,EUR,8.0,234
2020,UAeOPRT185,EUR,8.0,254
2019,UAeOPRT185,TRY,1.3,973
2021,UAeOPRT185,TRY,1.9,1435
2022,UAeOPRT185,TRY,1.9,1619
2019,UAeOPRT185,USD,7.0,5
2020,UAeOPRT185,USD,7.5,17
2021,UAeOPRT185,USD,9.7,21
2022,UAeOPRT185,USD,10.5,18
2019,UBaNPDT186,EUR,216.0,192
2020,UBaNPDT186,EUR,239.1,230
2021,UBaNPDT186,EUR,319.5,328
2022,UBaNPDT186,EUR,321.9,328
2019,UBaNPDT186,TRY,35.6,1251
2020,UBaNPDT186,TRY,35.6,1465
2022,UBaNPDT186,TRY,44.3,1929
2019,UBaNPDT186,USD,188.4,11
2020,UBaNPDT186,USD,206.2,10
2019,UAeCNCC187,EUR,121.0,220
2020,UAeCNCC187,EUR,127.4,286
2022,UAeCNCC187,EUR,163.7,361
2019,UAeCNCC187,TRY,20.0,1046
2020,UAeCNCC187,TRY,21.1,1262
2021,UAeCNCC187,TRY,27.7,1517
2022,UAeCNCC187,TRY,27.7,1677
2019,UAeCNCC187,USD,105.6,16
2021,UAeCNCC187,USD,145.0,26
2022,UAeCNCC187,USD,145.0,30
2019,UAx1TMM188,EUR,19.0,293
2020,UAx1TMM188,EUR,21.1,343
2021,UAx1TMM188,EUR,26.3,394
2022,UAx1TMM188,EUR,27.4,456
2019,UAx1TMM188,TRY,3.1,1382
2020,UAx1TMM188,TRY,3.1,1621
2021,UAx1TMM188,TRY,4.0,1908
2022,UAx1TMM188,TRY,4.1,2179
2019,UAx1TMM188,USD,16.6,20
2020,UAx1TMM188,USD,16.6,49
2021,UAx1TMM188,USD,21.0,41
2022,UAx1TMM188,USD,21.3,43
2019,UBeSRCV189,EUR,47.0,305
2020,UBeSRCV189,EUR,59.9,345
2022,UBeSRCV189,EUR,61.5,440
2019,UBeSRCV189,TRY,7.8,1506
2020,UBeSRCV189,TRY,9.9,1764
2021,UBeSRCV189,TRY,13.9,1991
2022,UBeSRCV189,TRY,15.5,2285
2019,UBeSRCV189,USD,41.0,34
2020,UBeSRCV189,USD,44.6,48
2021,UBeSRCV189,USD,60.0,40
2022,UBeSRCV189,USD,60.9,60
2019,PCTxTRVC190,EUR,16.0,336
2020,PCTxTRVC190,EUR,16.0,401
2021,PCTxTRVC190,EUR,21.6,444
2022,PCTxTRVC190,EUR,24.3,523
2019,PCTxTRVC190,TRY,2.6,1599
2020,PCTxTRVC190,TRY,2.9,1888
2021,PCTxTRVC190,TRY,3.6,2270
2022,PCTxTRVC190,TRY,3.6,2473
2019,PCTxTRVC190,USD,14.0,51
2020,PCTxTRVC190,USD,14.0,56
2021,PCTxTRVC190,USD,17.9,60
2022,PCTxTRVC190,USD,17.9,74
2020,MXeUDUB191,EUR,37.5,395
2021,MXeUDUB191,EUR,45.1,449
2022,MXeUDUB191,EUR,55.8,494
2020,MXeUDUB191,TRY,5.3,1507
2021,MXeUDUB191,TRY,6.4,1694
2022,MXeUDUB191,TRY,6.6,1940
2019,MXeUDUB191,USD,27.9,45
2020,MXeUDUB191,USD,29.6,54
2021,MXeUDUB191,USD,38.5,76
2022,MXeUDUB191,USD,38.5,78
2020,UBxCFMN192,EUR,30.0,389
2021,UBxCFMN192,EUR,35.5,456
2022,UBxCFMN192,EUR,41.7,475
2019,UBxCFMN192,TRY,4.9,1483
2021,UBxCFMN192,TRY,6.4,2028
2022,UBxCFMN192,TRY,6.4,2182
2019,UBxCFMN192,USD,26.2,11
2021,UBxCFMN192,USD,37.8,25
2022,UBxCFMN192,USD,38.7,30
2020,PCTaFN1O193,EUR,17.3,229
2021,PCTaFN1O193,EUR,20.5,268
2022,PCTaFN1O193,EUR,22.7,289
2019,PCTaFN1O193,TRY,2.6,1095
2020,PCTaFN1O193,TRY,2.9,1281
2021,PCTaFN1O193,TRY,3.9,1531
2022,PCTaFN1O193,TRY,4.4,1709
2019,PCTaFN1O193,USD,14.0,22
2020,PCTaFN1O193,USD,14.3,24
2021,PCTaFN1O193,USD,17.4,40
2022,PCTaFN1O193,USD,17.4,25
2020,PCTxGFGS194,EUR,50.0,368
2021,PCTxGFGS194,EUR,63.0,453
2022,PCTxGFGS194,EUR,63.0,499
2019,PCTxGFGS194,TRY,8.2,1284
2021,PCTxGFGS194,TRY,11.6,1893
2022,PCTxGFGS194,TRY,13.6,2116
2019,PCTxGFGS194,USD,43.6,39
2020,PCTxGFGS194,USD,43.6,29
2022,PCTxGFGS194,USD,58.2,45
2019,MXiRTDN195,EUR,71.0,265
2020,MXiRTDN195,EUR,85.6,335
2021,MXiRTDN195,EUR,104.4,346
2022,MXiRTDN195,EUR,104.4,409
2019,MXiRTDN195,TRY,11.7,1299
2020,MXiRTDN195,TRY,12.7,1614
2021,MXiRTDN195,TRY,15.6,1802
2020,MXiRTDN195,USD,65.7,27
2021,MXiRTDN195,USD,91.8,34
2022,MXiRTDN195,USD,91.8,30
2019,MXiCUVI196,EUR,93.0,206
2021,MXiCUVI196,EUR,128.7,257
2022,MXiCUVI196,EUR,133.5,321
2019,MXiCUVI196,TRY,15.3,916
2020,MXiCUVI196,TRY,16.1,1057
2021,MXiCUVI196,TRY,19.8,1204
2022,MXiCUVI196,TRY,21.2,1470
2019,MXiCUVI196,USD,81.1,30
2022,MXiCUVI196,USD,149.0,36
2019,UAxECR0197,EUR,98.0,271
2020,UAxECR0197,EUR,105.5,350
2021,UAxECR0197,EUR,132.1,348
2022,UAxECR0197,EUR,134.5,438
2019,UAxECR0197,TRY,16.2,1214
2020,UAxECR0197,TRY,16.2,1398
2021,UAxECR0197,TRY,19.9,1685
2022,UAxECR0197,TRY,19.9,1923
2019,UAxECR0197,USD,85.5,21
2020,UAxECR0197,USD,97.8,23
2022,UAxECR0197,USD,109.2,37
2019,UAaCIBP198,EUR,43.0,223
2020,UAaCIBP198,EUR,43.0,242
2021,UAaCIBP198,EUR,54.0,313
2022,UAaCIBP198,EUR,59.7,313
2020,UAaCIBP198,TRY,7.2,1434
2021,UAaCIBP198,TRY,9.6,1658
2022,UAaCIBP198,TRY,9.6,1883
2019,UAaCIBP198,USD,37.5,39
2021,UAaCIBP198,USD,45.9,39
2022,UAaCIBP198,USD,51.2,65
2019,PCTi1MOU199,EUR,25.0,310
2020,PCTi1MOU199,EUR,27.0,335
2021,PCTi1MOU199,EUR,35.7,401
2019,PCTi1MOU199,TRY,4.1,1351
2020,PCTi1MOU199,TRY,4.1,1639
2021,PCTi1MOU199,TRY,5.3,1938
2022,PCTi1MOU199,TRY,6.0,2214
2019,PCTi1MOU199,USD,21.8,22
2020,PCTi1MOU199,USD,23.8,20
2021,PCTi1MOU199,USD,29.4,36
2022,PCTi1MOU199,USD,33.6,29
2020,PCTaCOPR702,EUR,20.5,287
2021,PCTaCOPR702,EUR,25.8,310
2019,PCTaCOPR702,TRY,3.1,1142
2020,PCTaCOPR702,TRY,3.2,1264
2021,PCTaCOPR702,TRY,4.2,1455
2022,PCTaCOPR702,TRY,4.2,1668
2019,PCTaCOPR702,USD,16.6,19
2020,PCTaCOPR702,USD,19.3,28
2022,PCTaCOPR702,USD,22.9,29
2019,UAaT1EU703,EUR,21.0,147
2020,UAaT1EU703,EUR,21.6,179
2021,UAaT1EU703,EUR,32.0,223
2022,UAaT1EU703,EUR,36.5,256
2020,UAaT1EU703,TRY,3.5,1429
2021,UAaT1EU703,TRY,4.6,1674
2022,UAaT1EU703,TRY,4.6,1928
2019,UAaT1EU703,USD,18.3,27
2020,UAaT1EU703,USD,18.3,22
2021,UAaT1EU703,USD,26.7,26
2022,UAaT1EU703,USD,30.7,39
2019,UAeRCBD704,EUR,32.0,271
2020,UAeRCBD704,EUR,37.4,305
2021,UAeRCBD704,EUR,54.1,396
2022,UAeRCBD704,EUR,61.4,424
2019,UAeRCBD704,TRY,5.3,1160
2021,UAeRCBD704,TRY,8.1,1651
2022,UAeRCBD704,TRY,8.4,1891
2020,UAeRCBD704,USD,28.4,30
2022,UAeRCBD704,USD,39.4,36
2019,MXiRICD705,EUR,74.0,282
2020,MXiRICD705,TRY,13.1,1538
2021,MXiRICD705,TRY,18.0,1729
2022,MXiRICD705,TRY,18.0,2000
2020,MXiRICD705,USD,65.7,28
2022,MXiRICD705,USD,89.4,44
2019,UBxFDEN706,EUR,62.0,264
2020,UBxFDEN706,EUR,71.1,353
2022,UBxFDEN706,EUR,101.3,457
2019,UBxFDEN706,TRY,10.2,1357
2020,UBxFDEN706,TRY,10.2,1536
2021,UBxFDEN706,TRY,13.8,1914
2022,UBxFDEN706,TRY,13.8,2078
2020,UBxFDEN706,USD,56.9,41
2021,UBxFDEN706,USD,65.2,45
2022,UBxFDEN706,USD,65.2,38
2019,PCTaPDTG707,EUR,30.0,267
2020,PCTaPDTG707,EUR,30.0,374
2021,PCTaPDTG707,EUR,40.2,456
2022,PCTaPDTG707,EUR,40.2,498
2019,PCTaPDTG707,TRY,4.9,1632
2020,PCTaPDTG707,TRY,5.6,1875
2021,PCTaPDTG707,TRY,7.0,2280
2022,PCTaPDTG707,TRY,7.5,2451
2019,PCTaPDTG707,USD,26.2,37
2020,PCTaPDTG707,USD,26.4,27
2021,PCTaPDTG707,USD,34.0,44
2022,PCTaPDTG707,USD,35.7,44
2020,UBiCCNL708,EUR,136.5,304
2021,UBiCCNL708,EUR,184.2,352
2022,UBiCCNL708,EUR,206.0,367
2019,UBiCCNL708,TRY,21.6,1394
2020,UBiCCNL708,TRY,21.9,1650
2021,UBiCCNL708,TRY,27.2,1933
2022,UBiCCNL708,TRY,27.2,2190
2019,UBiCCNL708,USD,114.3,39
2020,UBiCCNL708,USD,133.8,52
2021,UBiCCNL708,USD,158.1,56
2022,UBiCCNL708,USD,168.0,62
2020,PCTe0PBL709,EUR,189.2,257
2021,PCTe0PBL709,EUR,252.7,267
2022,PCTe0PBL709,EUR,262.6,306
2020,PCTe0PBL709,TRY,34.2,1218
2021,PCTe0PBL709,TRY,45.0,1485
2022,PCTe0PBL709,TRY,45.0,1663
2019,PCTe0PBL709,USD,161.4,23
2020,PCTe0PBL709,USD,163.7,20
2021,PCTe0PBL709,USD,193.7,22
2022,PCTe0PBL709,USD,193.7,34
2019,MXa0MCP710,EUR,93.0,252
2020,MXa0MCP710,EUR,99.5,294
2021,MXa0MCP710,EUR,126.4,401
2022,MXa0MCP710,EUR,126.4,401
2019,MXa0MCP710,TRY,15.3,1456
2021,MXa0MCP710,TRY,21.2,2046
2022,MXa0MCP710,TRY,24.0,2372
2019,MXa0MCP710,USD,81.1,13
2020,MXa0MCP710,USD,81.1,12
2021,MXa0MCP710,USD,101.6,15
2022,MXa0MCP710,USD,112.8,13
2019,MXxNPTG711,EUR,30.0,241
2020,MXxNPTG711,EUR,30.0,277
2022,MXxNPTG711,EUR,36.2,350
2019,MXxNPTG711,TRY,4.9,1182
2020,MXxNPTG711,TRY,4.9,1469
2021,MXxNPTG711,TRY,6.1,1670
2019,MXxNPTG711,USD,26.2,18
2020,MXxNPTG711,USD,31.1,19
2021,MXxNPTG711,USD,35.4,16
2019,UAaC0DR712,EUR,121.0,330
2020,UAaC0DR712,EUR,122.2,401
2019,UAaC0DR712,TRY,20.0,1093
2020,UAaC0DR712,TRY,20.0,1299
2021,UAaC0DR712,TRY,24.0,1521
2022,UAaC0DR712,TRY,25.8,1750
2019,UAaC0DR712,USD,105.6,33
2020,UAaC0DR712,USD,112.9,24
2021,UAaC0DR712,USD,144.0,31
2022,UAaC0DR712,USD,151.2,36
2019,MXeVCCF713,EUR,77.0,270
2020,MXeVCCF713,EUR,81.9,327
2021,MXeVCCF713,EUR,99.8,362
2022,MXeVCCF713,EUR,99.8,452
2019,MXeVCCF713,TRY,12.7,1048
2020,MXeVCCF713,TRY,14.5,1316
2021,MXeVCCF713,TRY,18.9,1613
2022,MXeVCCF713,TRY,20.0,1718
2019,MXeVCCF713,USD,67.2,20
2020,MXeVCCF713,USD,68.8,30
2021,MXeVCCF713,USD,96.8,41
2022,MXeVCCF713,USD,100.0,42
2019,UBiLCNC714,EUR,159.0,391
2020,UBiLCNC714,EUR,159.0,439
2021,UBiLCNC714,EUR,191.4,546
2022,UBiLCNC714,EUR,191.4,595
2021,UBiLCNC714,TRY,37.5,2137
2022,UBiLCNC714,TRY,37.5,2613
2019,UBiLCNC714,USD,138.7,28
2021,UBiLCNC714,USD,208.3,47
2022,UBiLCNC714,USD,208.3,46
2019,MXaILCC715,EUR,48.0,229
2020,MXaILCC715,EUR,51.4,280
2022,MXaILCC715,EUR,69.3,368
2019,MXaILCC715,TRY,7.9,1178
2020,MXaILCC715,TRY,7.9,1448
2022,MXaILCC715,TRY,11.5,1970
2019,MXaILCC715,USD,41.9,10
2020,MXaILCC715,USD,47.0,6
2021,MXaILCC715,USD,72.3,13
2022,MXaILCC715,USD,72.3,18
2019,MXxECPO716,EUR,214.0,201
2020,MXxECPO716,EUR,237.0,309
2021,MXxECPO716,EUR,343.8,313
2022,MXxECPO716,EUR,406.0,394
2019,MXxECPO716,TRY,35.3,1134
2020,MXxECPO716,TRY,35.3,1360
2021,MXxECPO716,TRY,41.1,1589
